N,rep,beta
50,1,-0.013262218183008805
50,2,-0.5006516297655841
50,3,0.24026422763458077
50,4,0.31335318047470667
50,5,-0.5889919730312082
50,6,0.3119427124869721
50,7,-0.86255515554008
50,8,-0.15080711988259524
50,9,1.4296579951141326
50,10,0.4046370573788257
50,11,0.43047116090033116
50,12,0.7830704103831266
50,13,-0.6031357005369907
50,14,0.9016740363922877
50,15,-0.14202085629536915
50,16,-0.13417555165653547
50,17,0.09098470535463923
50,18,0.230113286770729
50,19,0.7952993782305731
50,20,0.9111174421116973
50,21,0.629540428383634
50,22,-0.7051391402313064
50,23,-0.5873982764564885
50,24,1.6873799530776143
50,25,1.7529483094015608
50,26,0.29588082023606477
50,27,0.1845646910138076
50,28,0.791073274545741
50,29,0.3268510972913251
50,30,-0.6948710659555319
50,31,-0.4176139733442716
50,32,-0.7405954078667906
50,33,0.48371717651138296
50,34,0.14539109593598049
50,35,-0.010532830959325496
50,36,-0.7876860081096613
50,37,-0.5048756551000336
50,38,1.0413872320690023
50,39,-0.5114977369342513
50,40,0.03720414107071971
50,41,-1.2159738933181943
50,42,-0.2522273547625087
50,43,1.051373013956608
50,44,0.3909722318123408
50,45,0.023897141537632987
50,46,-0.37188149357488537
50,47,-0.42349501601958356
50,48,1.106087474224399
50,49,0.4377796863793337
50,50,0.1382437020981462
50,51,-0.33196651854382075
50,52,-0.25369644601119407
50,53,0.3571418176104401
50,54,0.007247753231093702
50,55,-0.1990168351398436
50,56,-1.1773736916068718
50,57,-0.4824799984516023
50,58,-1.1682061608175274
50,59,1.1717134186795175
50,60,0.28603966254688934
50,61,-0.09967286290644559
50,62,-0.11485030238111217
50,63,0.6306305199092116
50,64,-0.06214263682796638
50,65,-0.29966295315617286
50,66,-0.7973490587995313
50,67,-0.11857980408546222
50,68,0.9095887360110934
50,69,-0.803284761570242
50,70,-0.2235656088751336
50,71,0.7842921191320243
50,72,0.2904607459063048
50,73,-0.3039361086759788
50,74,-0.45172154651239016
50,75,-0.31853934869384776
50,76,-0.572696002647175
50,77,0.39400666412555696
50,78,0.7543599811222294
50,79,-0.4633768100978579
50,80,-0.80104091125514
50,81,1.4516110714882067
50,82,-0.7258716598804917
50,83,-0.18412698827934806
50,84,1.1654473560299967
50,85,-0.6222918889606085
50,86,0.6340695088720818
50,87,1.6868841758263677
50,88,1.2348838998625642
50,89,0.806413784501515
50,90,0.23291834520015617
50,91,-0.29483553876860297
50,92,0.6125506401929777
50,93,0.20339370687757669
50,94,0.7844207872261105
50,95,0.8788622660149216
50,96,-0.4273397152707016
50,97,-1.7500187302932335
50,98,-0.6265485338356738
50,99,0.27274401028192347
50,100,-0.08054226596239533
50,101,-0.6982741604220402
50,102,0.3174689258112056
50,103,-0.8725334701088265
50,104,-0.01687112781804806
50,105,0.10712544743405246
50,106,0.11544947681073842
50,107,0.5946430329522017
50,108,-0.3903602111342393
50,109,-0.0035827487570419367
50,110,-0.0805513577587707
50,111,0.15609103656478363
50,112,0.7430630071289795
50,113,0.2994222877012271
50,114,1.0743855053805507
50,115,0.4231793022009285
50,116,0.10998749419621887
50,117,0.5116130445836536
50,118,-0.7050597402056529
50,119,-0.2578704668679934
50,120,-0.025648195141373273
50,121,-0.7009801533728339
50,122,-0.11227161384375595
50,123,-0.6694586935731426
50,124,-1.9364340757720888
50,125,0.6781653311528153
50,126,-0.9256925903481255
50,127,-0.641881401241763
50,128,0.06940600793836305
50,129,-0.17818994537193167
50,130,0.24744153617967324
50,131,-0.37861814641136915
50,132,0.11168245743723687
50,133,1.1720551084412199
50,134,0.9173879262183724
50,135,0.05164416808905621
50,136,-1.2566299128389984
50,137,-1.2157119462798394
50,138,-0.4764151964508305
50,139,-0.8280560437105584
50,140,-0.08861565437074957
50,141,-0.4159369992642257
50,142,-0.8038649182495887
50,143,0.5098569587384418
50,144,-0.3009375708371516
50,145,0.2480637541781382
50,146,-1.588252646744329
50,147,0.06749277265501359
50,148,-0.3242641311877363
50,149,1.0577019026279981
50,150,0.0685134448405488
50,151,1.980270379378683
50,152,-1.3784036397838628
50,153,0.04439592641487043
50,154,0.8945620311137602
50,155,-0.3481159371328419
50,156,0.5269841225915913
50,157,0.008452487752518986
50,158,0.12890324847428655
50,159,0.6416002421741728
50,160,-0.9556880076079629
50,161,0.3782329098899491
50,162,0.8810555217193948
50,163,0.16859421286257592
50,164,0.4653713944853266
50,165,0.017797928636287694
50,166,0.630129920537814
50,167,0.1811420772907028
50,168,-0.9841244875376658
50,169,0.6394032960391519
50,170,0.7039424755761008
50,171,0.2255057493523361
50,172,-0.18171597876566978
50,173,-0.7220745950242705
50,174,-0.32892157092354435
50,175,0.06625987524805291
50,176,-0.6793489275714252
50,177,0.2752870836994509
50,178,0.11419437306757813
50,179,0.2632402383056469
50,180,1.22097996972741
50,181,-0.855106509209452
50,182,-0.8129574637423127
50,183,0.15135637777564107
50,184,-0.4518346576024376
50,185,-0.3611226096170386
50,186,-0.8689535771655055
50,187,-1.1360152566276736
50,188,0.1527910671019487
50,189,0.6698752935104523
50,190,0.11141208713576184
50,191,0.34756151802939655
50,192,0.40031353987268936
50,193,-0.14125966071471932
50,194,0.9982949201985357
50,195,-0.31625481949976036
50,196,-0.09609676693069837
50,197,0.2578387410262917
50,198,-0.03099166465534127
50,199,0.34666428048986664
50,200,-0.35749096351037274
50,201,0.7804897071333009
50,202,1.6970185552374588
50,203,0.12291776330218206
50,204,0.6184120870450461
50,205,0.10687248063715955
50,206,-0.48834902407722613
50,207,0.4958941280501224
50,208,-0.8149391262307899
50,209,-0.21219857391258207
50,210,-0.40692844580108345
50,211,-0.38151806384713455
50,212,0.5319361038619178
50,213,0.09352274303399243
50,214,-0.08011455891734758
50,215,-0.051424014671198566
50,216,0.20720418390396722
50,217,0.4355089267826276
50,218,0.7711427097009822
50,219,0.08324048334892441
50,220,-1.0459065124867144
50,221,-0.2540889567277599
50,222,-0.7858933731075486
50,223,0.07228759414857956
50,224,-0.5434818685905237
50,225,-0.6312797408236146
50,226,-0.23431166316223073
50,227,0.39540894097272167
50,228,-0.35842889216055457
50,229,-0.2139933756475851
50,230,-0.26782108631496926
50,231,1.2373673645214
50,232,0.9991297369318144
50,233,0.1589470983737039
50,234,0.621533899054058
50,235,0.10544426315942668
50,236,-0.43171163713300453
50,237,0.30438550653205576
50,238,-0.6611896729179654
50,239,0.21727828460312668
50,240,0.5180844980086535
50,241,0.3459440023893859
50,242,0.40692919856906434
50,243,0.3513756093880387
50,244,0.5338012147786312
50,245,0.05022506431455948
50,246,-0.5137826967391512
50,247,-0.6010406983412044
50,248,0.7870866523869802
50,249,0.16311567095090698
50,250,-0.31179436985274195
50,251,0.935298491946013
50,252,-0.003908908196298538
50,253,0.13960783838515475
50,254,0.005672021302738428
50,255,-0.37425424260627504
50,256,-0.7125929549269067
50,257,-1.0378813531591173
50,258,0.4205155441912738
50,259,-0.7051228092677292
50,260,-0.1297469824372995
50,261,-0.0896133718599006
50,262,-0.14248791913232298
50,263,-1.7759624954021245
50,264,0.5257926130783658
50,265,0.14113956914100068
50,266,0.14035202843833303
50,267,0.1818335175811696
50,268,0.22925216500584106
50,269,-0.7664479932052793
50,270,-0.2984311120877799
50,271,0.8860690622111231
50,272,-0.2018250546620525
50,273,-0.2391745613922924
50,274,-0.41925872658325714
50,275,-1.580855357646512
50,276,0.2429546785532858
50,277,-0.2649176359872477
50,278,0.39591305956224104
50,279,0.29101801536943733
50,280,0.7208207090588776
50,281,-0.14325676930819542
50,282,0.31413535088488004
50,283,0.2802381564656189
50,284,-0.7586254138059392
50,285,-0.22754066070203077
50,286,0.13957061926965877
50,287,-0.25189320042072827
50,288,0.04673394803423841
50,289,-0.15334589106493257
50,290,-2.5195557461374025
50,291,-0.5499371821618708
50,292,-0.6713509091128135
50,293,-0.4744068628193939
50,294,0.2628665015695555
50,295,-0.5524661679634906
50,296,-0.1139110248294961
50,297,-0.067269901587038
50,298,-1.236293051347379
50,299,0.33622424152901903
50,300,0.06722967073980929
50,301,-0.1577112576962595
50,302,-0.14249795422192932
50,303,-0.7908556962572779
50,304,0.26657622451396434
50,305,-0.7935664239168054
50,306,-0.12719365359024315
50,307,-0.1849346281103275
50,308,-0.3955908967174411
50,309,-0.3224568779116682
50,310,0.6533488244326845
50,311,0.7849217546152025
50,312,0.7936378147603825
50,313,0.08135883524355848
50,314,0.2057224306942699
50,315,-0.1311169947657296
50,316,-0.16964773789483129
50,317,0.5353757934963839
50,318,-0.5052338998749472
50,319,-0.5146820697646312
50,320,-0.6412167022225286
50,321,0.03493535059194513
50,322,0.7933125755688619
50,323,0.6559255903288117
50,324,1.4064323952640885
50,325,-0.9457170671131981
50,326,0.1170782285253592
50,327,-0.41465855241422794
50,328,0.07614637530746218
50,329,-0.4560702303004323
50,330,0.24099883605562866
50,331,-0.1057522934891728
50,332,-1.5404070977129174
50,333,-0.7136340897144071
50,334,-0.4971398804136615
50,335,-0.01616299281273553
50,336,0.08438962639370233
50,337,-0.7136364948703502
50,338,0.730154793234854
50,339,-0.08949083342177577
50,340,0.1399827979410362
50,341,-0.40340259447611015
50,342,1.5221919989997152
50,343,-0.4622883080817905
50,344,-0.7717466527815906
50,345,-1.1218322603629303
50,346,0.2608247873659513
50,347,-0.06494954376777082
50,348,-1.1150222548401838
50,349,-0.8194670680106193
50,350,-0.4948755155569497
50,351,0.24398235008300181
50,352,0.5681127942847272
50,353,-0.46726720558044654
50,354,0.533479380283788
50,355,0.4211834383621996
50,356,0.05372340418000936
50,357,0.6262681095243432
50,358,-0.6359838992554199
50,359,0.31165006883824875
50,360,-0.9593166345419686
50,361,0.14608751641510273
50,362,-0.6079831856661991
50,363,0.06737230632082165
50,364,-1.1246598528005645
50,365,-0.797994958406615
50,366,0.21953057721940283
50,367,-0.10213172591832281
50,368,-0.16237009977424274
50,369,0.05239084398248307
50,370,-0.1279987439672486
50,371,-0.4182853351345423
50,372,-0.6885524517948693
50,373,-0.47617667895589455
50,374,-0.35099837563105213
50,375,0.6350028174971609
50,376,-0.18948283217363474
50,377,0.6507836741654496
50,378,0.1700035322968765
50,379,0.22217636354155207
50,380,0.2076678031819627
50,381,0.12436757314547113
50,382,-0.561066085637923
50,383,0.4302801158887291
50,384,0.002636200369162079
50,385,-0.3630452234098844
50,386,-0.7802328785596071
50,387,-0.5918997015881818
50,388,-0.11604868187538551
50,389,0.5919095033746532
50,390,-0.03302127705105181
50,391,0.4127028636891568
50,392,1.1038587801866455
50,393,-0.8942064371147168
50,394,-0.042119593239421396
50,395,-0.16919580104021553
50,396,0.19239986833939698
50,397,0.40157576594192035
50,398,-0.721215065374023
50,399,-0.5561601922016336
50,400,0.049260736890315605
50,401,0.4116952574037841
50,402,-0.21189655437908536
50,403,-0.02220835012148185
50,404,-0.2417705500226274
50,405,0.20984420146908722
50,406,-0.3121552878736332
50,407,0.42491974786334524
50,408,-0.26205025860077197
50,409,0.4168682414263873
50,410,0.12786718409834225
50,411,0.3442387443119456
50,412,-1.2147986737718637
50,413,-0.3355518858545369
50,414,0.5932989747247535
50,415,-0.0949833933343419
50,416,-0.4754211655212686
50,417,1.6267199347476748
50,418,-1.2742086722742563
50,419,0.300674532918716
50,420,-0.08651206282003737
50,421,0.4249055134288409
50,422,-0.24474372620704912
50,423,-0.18294284752971898
50,424,0.5751374821219671
50,425,0.9625696099357892
50,426,-0.5374025102608964
50,427,0.6406241636576634
50,428,-0.6051219668410219
50,429,-0.12093606865910121
50,430,-2.4536434186076512
50,431,0.029465143195355075
50,432,-0.3681571458222167
50,433,-0.6994850207894501
50,434,0.1117088058806793
50,435,0.9792489055526116
50,436,0.338078536939119
50,437,-0.07306462119264723
50,438,0.03430589839905894
50,439,0.7127236292019841
50,440,-0.30847309891565483
50,441,0.743813276355546
50,442,0.8095896323118454
50,443,0.3931167972315723
50,444,0.31659308280778536
50,445,0.2786501090051097
50,446,-0.38611700993096754
50,447,0.3834226900923165
50,448,0.33548617243639056
50,449,0.47484717166765167
50,450,-0.3385116142048271
50,451,-0.21288423814417543
50,452,0.8893823664109716
50,453,-0.5389566384802938
50,454,1.1529882699815355
50,455,-0.6910697464285597
50,456,-0.40717046590622813
50,457,-0.19921814579560856
50,458,-0.2106747623365537
50,459,-0.12370060767384147
50,460,-0.3400031563618165
50,461,-0.2704782715281747
50,462,-1.3909118930193376
50,463,-0.3194280462603211
50,464,-0.13994086783125048
50,465,-0.7789196995512967
50,466,-0.05648000772894987
50,467,0.43085681619706107
50,468,0.041726687643074745
50,469,0.033228617886949315
50,470,0.45527778942163233
50,471,0.462020251262042
50,472,0.22432181092481698
50,473,0.7447241055870014
50,474,-0.39079057102513665
50,475,-0.6629492035173731
50,476,-0.2533705142393207
50,477,0.17784231958185812
50,478,0.6258439473260141
50,479,1.189029794585702
50,480,0.7909467471305729
50,481,0.03151114225909598
50,482,-1.1141719476640026
50,483,0.4837404804399204
50,484,-1.0438573171119951
50,485,0.6640948588556828
50,486,0.47424861517407507
50,487,0.009138847477280559
50,488,-0.002351897879519789
50,489,0.0046480894192091355
50,490,0.0010338637299581806
50,491,-1.5621957313155952
50,492,-1.6643391672133743
50,493,-0.24104830809876054
50,494,0.6032221048120064
50,495,0.04337845962034461
50,496,0.5463136473388185
50,497,0.21289848924434077
50,498,-0.8298971529780002
50,499,0.1541121491241873
50,500,0.016030702001607118
50,501,-0.8664220594008628
50,502,0.5364793208388866
50,503,-0.09176060322530535
50,504,0.3613679447329312
50,505,0.0010904252949896693
50,506,0.505972885884631
50,507,-0.5087781618987941
50,508,-0.15942605389497197
50,509,-0.07116054500379958
50,510,-0.5421841193531525
50,511,0.01659180393330571
50,512,1.387652697071242
50,513,0.04776382214793918
50,514,0.8725029204723487
50,515,0.32332980117328264
50,516,0.2671471234723137
50,517,-0.8503382953777648
50,518,-0.03355844051329506
50,519,-0.6274742564647986
50,520,-0.28659279340140204
50,521,0.6411019343124106
50,522,1.3627367302964302
50,523,-0.4675691228632613
50,524,-0.3748282427538785
50,525,0.1013508528320185
50,526,0.17827697595413514
50,527,-0.9377012325903485
50,528,-0.04817732427272395
50,529,0.28005822251284784
50,530,0.09509873084700683
50,531,-1.0169542691653013
50,532,0.3534765688671489
50,533,-0.22212364167863768
50,534,0.08112583718092979
50,535,0.10666392853538362
50,536,-0.055796669937475486
50,537,-0.26330039760209584
50,538,-0.013406571541687553
50,539,-0.19881072313817486
50,540,-0.19690315503081562
50,541,-0.5296551996241884
50,542,-0.5288336064738018
50,543,0.4318040389729679
50,544,-0.37933955932799707
50,545,-0.1643524261920794
50,546,-0.21896817574523453
50,547,-1.1804194920626028
50,548,0.9443924096224356
50,549,0.7495962654791237
50,550,0.2364387683854948
50,551,0.4188901040814566
50,552,0.2354562296738148
50,553,-0.38552502122271054
50,554,-0.6500297847857167
50,555,-0.7342338488910511
50,556,-0.8993560558934153
50,557,-0.5244412023980511
50,558,-0.004575642222045879
50,559,-1.205180570470476
50,560,0.8228715948227294
50,561,0.1782385468441796
50,562,-0.15824255422525998
50,563,0.39070959016798423
50,564,0.4149512886359262
50,565,-1.0302894754259166
50,566,-0.03349341371662237
50,567,0.6510864843406813
50,568,-0.1643479575530736
50,569,-0.11192312526353698
50,570,0.933265551309836
50,571,-1.8202190179593003
50,572,-1.1017349620368426
50,573,-0.29669081465402625
50,574,0.5559494214548284
50,575,0.04144362025121949
50,576,-0.21220148364144636
50,577,0.8092250042705036
50,578,-0.6729995662827146
50,579,0.09046943385108197
50,580,1.543741469829914
50,581,-1.0606384176532573
50,582,0.09416647675317025
50,583,-0.3968253224746398
50,584,-0.569978280604832
50,585,-0.011618420284485292
50,586,-0.46841447073513554
50,587,0.29579362011893706
50,588,0.577227511035556
50,589,-0.08286209559841513
50,590,-0.9328195741097913
50,591,0.6218294910556412
50,592,-0.7223975606423049
50,593,-0.3203453150331897
50,594,-0.5801680363084822
50,595,0.3710792464164048
50,596,-0.16497170301400874
50,597,-0.4183986324823603
50,598,0.019956720352283037
50,599,0.3876941054444822
50,600,-1.0832557685115582
50,601,0.03369392503294182
50,602,-0.8401042514446427
50,603,-0.16426389707151692
50,604,-0.5248826228471218
50,605,1.13970541986038
50,606,-1.5501913953714976
50,607,-1.1669344975421183
50,608,0.24258784836576394
50,609,-0.21176226944485535
50,610,0.08845931703744715
50,611,0.12591056611516518
50,612,0.35571632500564404
50,613,-0.9668719450234025
50,614,-0.34793863607910486
50,615,0.041735335340388834
50,616,0.2267300611296718
50,617,-0.029346801186015264
50,618,0.5427667809653406
50,619,-0.852085484208347
50,620,-0.2280424580867069
50,621,-0.3487217919295016
50,622,0.41932644975259314
50,623,0.1542974311657878
50,624,0.6115614314373502
50,625,0.13037644457864625
50,626,1.2034597982707553
50,627,0.1261828823268358
50,628,0.11136542001792235
50,629,0.31438878842014956
50,630,0.33650911120543253
50,631,-0.815560435067585
50,632,1.26500920998013
50,633,-0.025010346953445645
50,634,1.7887599639493286
50,635,0.035742325962474356
50,636,-0.8864341067250703
50,637,-1.4736192496463265
50,638,0.4734812537459784
50,639,-1.4291063492666618
50,640,-0.32266500159675243
50,641,0.20168887225161602
50,642,0.40924195880017034
50,643,0.06182185312278538
50,644,1.1338036300896808
50,645,0.6717640672873577
50,646,0.33489927334081376
50,647,0.3024860176367025
50,648,0.4379315620494499
50,649,-0.1925446057584997
50,650,-0.18917312939843278
50,651,-0.3052767625270792
50,652,0.27967113367611457
50,653,0.755407011157101
50,654,0.20648634297079574
50,655,0.5681882920355469
50,656,0.7512199989941123
50,657,-0.16424731360753914
50,658,0.15541790767935293
50,659,-0.49119080033976387
50,660,-0.6385551041262166
50,661,-0.1746166217092094
50,662,-0.38700566327315533
50,663,0.20809510677352278
50,664,-0.9821994948192988
50,665,0.02904997262501672
50,666,0.4632516676288701
50,667,-0.15483985575332015
50,668,1.6059317163291824
50,669,-0.9531629628734188
50,670,0.5010265405574886
50,671,-0.2860983768122999
50,672,-0.9438099220858256
50,673,-0.11828380375777195
50,674,-0.23411664362673915
50,675,-0.3134514459158328
50,676,0.47604669674472283
50,677,-0.1340588764430511
50,678,-0.01710387062194792
50,679,0.6416662417889778
50,680,0.8151193685334899
50,681,-0.7287243194082538
50,682,-0.14992762096896411
50,683,-0.8675830039180055
50,684,-0.5696168661451454
50,685,1.4738183407177998
